iter	Passed	Remaining
0	3	305
1	6	326
2	8	276
3	9	237
4	11	222
5	13	209
6	15	204
7	17	197
8	21	213
9	23	207
10	25	202
11	26	197
12	28	191
13	39	244
14	41	237
15	43	230
16	45	224
17	47	216
18	50	214
19	52	208
20	53	201
21	55	196
22	57	191
23	59	187
24	61	185
25	63	182
26	66	179
27	68	175
28	69	170
29	71	167
30	73	163
31	82	174
32	83	170
33	85	166
34	87	162
35	89	158
36	91	155
37	93	152
38	96	151
39	98	148
40	101	146
41	102	141
42	112	148
43	114	145
44	115	141
45	117	137
46	119	134
47	121	131
48	123	128
49	125	125
50	126	121
51	128	118
52	130	115
53	131	112
54	132	108
55	135	106
56	137	103
57	140	101
58	142	98
59	144	96
60	146	93
61	147	90
62	149	87
63	152	85
64	154	83
65	156	80
66	158	77
67	160	75
68	162	73
69	164	70
70	167	68
71	169	65
72	171	63
73	173	60
74	174	58
75	176	55
76	179	53
77	181	51
78	183	48
79	185	46
80	186	43
81	188	41
82	190	39
83	193	36
84	195	34
85	197	32
86	199	29
87	201	27
88	205	25
89	208	23
90	210	20
91	211	18
92	213	16
93	215	13
94	217	11
95	219	9
96	222	6
97	224	4
98	225	2
99	227	0
